symbol,earnings_date,days_to_earnings,market_cap_b,realized_vol_annualized_pct,eps_estimate_trend_pct,score,eps_estimated,revenue_estimated
COST,2026-09-24,0,401.22,19.8,5.1,59.0,6.54,94966660000
CCL,2026-09-29,5,29.86,34.3,-1.1,58.5,1.36,8390627000
TSM,2026-10-15,21,2316.13,42.6,24.8,45.5,4.4,45258310000
NKE,2026-10-01,7,53.35,31.4,-29.4,42.8,0.4383,11339590000
DAL,2026-10-09,15,53.76,30.9,-1.4,36.5,2.01,17589120000
PEP,2026-10-08,14,177.83,22.6,4.1,34.2,2.3,24996610000
C,2026-10-13,19,226.3,26.8,14.4,33.3,2.68,23742500000
GS,2026-10-13,19,276.23,34.9,-1.0,32.4,16.07,17641610000
UNH,2026-10-13,19,337.18,22.9,13.5,29.6,4.12,111311200000
JNJ,2026-10-13,19,648.67,23.9,11.6,29.5,2.85,25350910000
WFC,2026-10-13,19,247.82,24.3,8.4,28.3,1.85,22373710000
BAC,2026-10-14,20,397.41,21.1,15.8,27.4,1.17,31224170000
JPM,2026-10-13,19,904.42,19.2,8.2,23.9,5.82,50581760000
